12339,95,1,10,3,1,1,311,Lost
15685,338,1,10,1,1,1,111,Lost
18077,432,1,10,1,1,1,111,Lost
11045,469,1,10,1,1,1,111,Lost
19806,465,1,11,1,1,1,111,Lost
15467,129,1,12,3,1,1,311,Lost
14440,639,1,13,1,1,1,111,Lost
14475,156,1,15,3,1,1,311,Lost
15604,19,1,15,4,1,1,411,Lost
7184,61,1,15,4,1,1,411,Lost
13392,138,1,16,3,1,1,311,Lost
4162,420,1,16,1,1,1,111,Lost
12718,530,1,17,1,1,1,111,Lost
8705,101,1,17,3,1,1,311,Lost
19610,514,1,18,1,1,1,111,Lost
2017,483,1,18,1,1,1,111,Lost
1529,604,1,18,1,1,1,111,Lost
9556,561,1,19,1,1,1,111,Lost
6749,488,1,19,1,1,1,111,Lost
11024,538,1,20,1,1,1,111,Lost
19580,349,1,20,1,1,1,111,Lost
18065,603,1,22,1,1,1,111,Lost
17043,599,1,22,1,1,1,111,Lost
11988,288,1,23,2,1,1,211,Lost
11992,117,1,23,3,1,1,311,Lost
11097,137,1,23,3,1,1,311,Lost
12767,304,1,24,2,1,1,211,Lost
7321,248,1,24,2,1,1,211,Lost
4770,595,1,24,1,1,1,111,Lost
18321,439,1,24,1,1,1,111,Lost
9248,517,1,25,1,1,1,111,Lost
6418,252,1,25,2,1,1,211,Lost
15635,150,1,25,3,1,1,311,Lost
9546,51,1,25,4,1,1,411,Lost
6729,131,1,26,3,1,1,311,Lost
1870,358,1,26,1,1,1,111,Lost
6248,49,1,27,4,1,1,411,Lost
4224,611,1,27,1,1,1,111,Lost
1119,517,1,28,1,1,1,111,Lost
9069,499,1,28,1,1,1,111,Lost
207,347,1,28,1,1,1,111,Lost
8646,183,1,30,2,1,1,211,Lost
17489,63,1,30,4,1,1,411,Lost
10352,123,1,30,3,1,1,311,Lost
14781,435,1,30,1,1,1,111,Lost
14751,663,1,30,1,1,1,111,Lost
6257,259,1,32,2,1,1,211,Lost
10857,154,1,33,3,1,1,311,Lost
1705,25,1,33,4,1,1,411,Lost
1445,602,1,33,1,1,1,111,Lost
20002,385,1,33,1,1,1,111,Lost
15419,387,1,33,1,1,1,111,Lost
1974,475,1,33,1,1,1,111,Lost
1893,556,1,34,1,1,1,111,Lost
8657,447,1,34,1,1,1,111,Lost
5817,602,1,34,1,1,1,111,Lost
179,605,1,34,1,1,1,111,Lost
16672,675,1,34,1,1,1,111,Lost
19557,252,1,34,2,1,1,211,Lost
10053,315,1,34,2,1,1,211,Lost
572,221,1,35,2,1,1,211,Lost
15215,10,1,35,4,1,1,411,Lost
4359,116,1,36,3,1,1,311,Lost
11667,205,1,36,2,1,1,211,Lost
9313,245,1,36,2,1,1,211,Lost
11850,239,1,36,2,1,1,211,Lost
19908,344,1,36,1,1,1,111,Lost
2871,20,1,37,4,1,1,411,Lost
19663,33,1,37,4,1,1,411,Lost
9610,21,2,37,4,2,1,421,Potential
19302,299,1,38,2,1,1,211,Lost
18187,203,1,38,2,1,1,211,Lost
12015,401,1,38,1,1,1,111,Lost
7682,486,1,38,1,1,1,111,Lost
2496,641,1,39,1,1,1,111,Lost
2274,94,1,39,3,1,1,311,Lost
11872,113,1,40,3,1,1,311,Lost
13661,241,1,40,2,1,1,211,Lost
14151,355,1,40,1,1,1,111,Lost
18703,485,1,40,1,1,1,111,Lost
15139,479,1,40,1,1,1,111,Lost
14182,382,1,41,1,1,1,111,Lost
7928,613,1,41,1,1,1,111,Lost
6751,583,1,42,1,1,1,111,Lost
1386,451,1,42,1,1,1,111,Lost
15014,451,1,42,1,1,1,111,Lost
8094,276,1,42,2,1,1,211,Lost
3356,197,1,43,2,1,1,211,Lost
11634,130,1,43,3,1,1,311,Lost
11221,572,1,43,1,1,1,111,Lost
13943,368,1,44,1,1,1,111,Lost
47,556,1,44,1,1,1,111,Lost
5977,93,1,44,3,1,1,311,Lost
611,78,1,45,3,1,1,311,Lost
15746,198,1,45,2,1,1,211,Lost
14985,616,1,45,1,1,1,111,Lost
17438,627,1,46,1,1,1,111,Lost
1330,539,1,46,1,1,1,111,Lost
1662,531,1,46,1,1,1,111,Lost
2848,54,1,46,4,1,1,411,Lost
4365,38,1,46,4,1,1,411,Lost
17410,130,1,47,3,1,1,311,Lost
19174,355,1,47,1,1,1,111,Lost
13044,541,1,47,1,1,1,111,Lost
708,610,1,47,1,1,1,111,Lost
15156,538,1,48,1,1,1,111,Lost
11453,548,1,48,1,1,1,111,Lost
16272,435,1,48,1,1,1,111,Lost
16775,343,1,48,1,1,1,111,Lost
11473,217,1,48,2,1,1,211,Lost
13287,153,1,48,3,1,1,311,Lost
2896,159,1,48,3,1,1,311,Lost
10337,181,1,48,2,1,1,211,Lost
17926,10,1,49,4,1,1,411,Lost
8991,4,1,49,4,1,1,411,Lost
1391,256,1,49,2,1,1,211,Lost
10247,409,1,50,1,1,1,111,Lost
8783,639,1,51,1,1,1,111,Lost
4381,251,1,51,2,1,1,211,Lost
778,267,1,51,2,1,1,211,Lost
3821,305,1,51,2,1,1,211,Lost
16467,110,1,51,3,1,1,311,Lost
10335,276,1,52,2,1,1,211,Lost
3047,356,1,52,1,1,1,111,Lost
4350,269,1,52,2,1,1,211,Lost
3247,235,1,52,2,1,1,211,Lost
10991,437,2,52,1,2,1,121,Lost
5446,228,1,53,2,1,1,211,Lost
8052,462,1,53,1,1,1,111,Lost
8746,413,1,54,1,1,1,111,Lost
7690,417,1,54,1,1,1,111,Lost
14027,262,1,54,2,1,1,211,Lost
14925,199,1,54,2,1,1,211,Lost
17639,200,1,55,2,1,1,211,Lost
18836,95,1,55,3,1,1,311,Lost
18288,506,1,55,1,1,1,111,Lost
10240,54,2,55,4,2,1,421,Potential
13869,427,1,56,1,1,1,111,Lost
8757,372,1,56,1,1,1,111,Lost
14352,650,1,56,1,1,1,111,Lost
7017,101,1,56,3,1,1,311,Lost
13672,109,1,56,3,1,1,311,Lost
15984,24,1,56,4,1,1,411,Lost
6656,49,1,56,4,1,1,411,Lost
13363,90,1,56,3,1,1,311,Lost
5221,222,1,56,2,1,1,211,Lost
17666,223,1,56,2,1,1,211,Lost
14054,278,1,56,2,1,1,211,Lost
11368,281,1,57,2,1,1,211,Lost
10146,649,1,57,1,1,1,111,Lost
4628,443,1,57,1,1,1,111,Lost
5197,601,1,58,1,1,1,111,Lost
3792,599,1,58,1,1,1,111,Lost
9887,665,1,58,1,1,1,111,Lost
4901,341,1,58,1,1,1,111,Lost
14544,60,1,58,4,1,1,411,Lost
19723,209,1,59,2,1,1,211,Lost
14104,212,1,60,2,1,1,211,Lost
5648,261,1,60,2,1,1,211,Lost
1530,235,1,60,2,1,1,211,Lost
6019,297,1,60,2,1,1,211,Lost
4479,60,1,60,4,1,1,411,Lost
17383,59,1,60,4,1,1,411,Lost
11145,591,1,60,1,1,1,111,Lost
9352,567,1,60,1,1,1,111,Lost
13913,648,1,60,1,1,1,111,Lost
9971,445,1,60,1,1,1,111,Lost
8640,141,1,61,3,1,1,311,Lost
7733,87,1,62,3,1,1,311,Lost
16966,78,1,62,3,1,1,311,Lost
1593,347,1,62,1,1,1,111,Lost
4712,80,1,63,3,1,1,311,Lost
10852,440,1,63,1,1,1,111,Lost
14447,542,1,64,1,1,1,111,Lost
5264,637,1,64,1,1,1,111,Lost
1421,609,1,65,1,1,1,111,Lost
4101,178,1,65,2,1,1,211,Lost
15805,199,1,65,2,1,1,211,Lost
15114,106,1,66,3,1,1,311,Lost
13751,69,1,66,4,1,1,411,Lost
1277,31,1,66,4,1,1,411,Lost
11968,564,1,66,1,1,1,111,Lost
8387,594,1,66,1,1,1,111,Lost
7143,478,1,66,1,1,1,111,Lost
14669,510,1,68,1,1,1,111,Lost
404,547,1,68,1,1,1,111,Lost
12144,448,1,68,1,1,1,111,Lost
15706,457,1,68,1,1,1,111,Lost
4982,24,1,68,4,1,1,411,Lost
7617,155,1,68,3,1,1,311,Lost
9805,239,1,68,2,1,1,211,Lost
9818,21,2,68,4,2,1,421,Potential
9171,194,1,69,2,1,1,211,Lost
19134,70,1,69,4,1,1,411,Lost
12104,195,1,70,2,1,1,211,Lost
19511,450,1,70,1,1,1,111,Lost
2386,374,1,70,1,1,1,111,Lost
373,479,1,70,1,1,1,111,Lost
19830,580,1,70,1,1,1,111,Lost
2775,516,1,71,1,1,1,111,Lost
1695,395,1,71,1,1,1,111,Lost
19164,252,1,71,2,1,1,211,Lost
10107,343,1,71,1,1,1,111,Lost
7223,156,1,71,3,1,1,311,Lost
13214,128,1,71,3,1,1,311,Lost
5090,117,1,72,3,1,1,311,Lost
9525,122,1,72,3,1,1,311,Lost
19617,99,1,72,3,1,1,311,Lost
16265,56,1,72,4,1,1,411,Lost
507,15,1,72,4,1,1,411,Lost
3852,295,1,72,2,1,1,211,Lost
13148,198,1,72,2,1,1,211,Lost
6092,443,1,72,1,1,1,111,Lost
17258,546,1,72,1,1,1,111,Lost
4694,541,1,72,1,1,1,111,Lost
17990,472,1,72,1,1,1,111,Lost
95,468,1,72,1,1,1,111,Lost
15846,492,1,72,1,1,1,111,Lost
3475,299,1,73,2,1,1,211,Lost
1865,307,1,74,2,1,1,211,Lost
4566,186,1,74,2,1,1,211,Lost
11761,35,1,74,4,1,1,411,Lost
7857,516,1,74,1,1,1,111,Lost
12466,662,1,74,1,1,1,111,Lost
13009,144,2,74,3,2,1,321,Potential
3748,526,1,75,1,1,1,111,Lost
6492,185,1,75,2,1,1,211,Lost
15767,314,1,75,2,1,1,211,Lost
13580,544,1,76,1,1,1,111,Lost
11349,320,2,77,1,2,1,121,Lost
15959,536,1,78,1,1,1,111,Lost
4351,381,1,78,1,1,1,111,Lost
13220,573,1,78,1,1,1,111,Lost
5816,610,1,78,1,1,1,111,Lost
